#,Place,Per capita income,Margin of error
197,"Acworth, New Hampshire","$26,053","$4,026"
211,"Albany, New Hampshire","$24,634","$3,373"
225,"Alexandria, New Hampshire","$22,593","$2,704"
205,"Allenstown, New Hampshire","$25,330","$2,313"
195,"Alstead, New Hampshire","$26,289","$3,623"
151,"Alton, New Hampshire","$29,693","$2,685"
14,"Amherst, New Hampshire","$49,190","$3,330"
145,"Andover, New Hampshire","$30,270","$2,544"
161,"Antrim, New Hampshire","$28,760","$2,752"
224,"Ashland, New Hampshire","$22,620","$2,344"
26,"Atkinson, New Hampshire","$43,938","$4,192"
38,"Auburn, New Hampshire","$41,238","$3,110"
144,"Barnstead, New Hampshire","$30,415","$3,221"
86,"Barrington, New Hampshire","$36,099","$4,274"
90,"Bartlett, New Hampshire","$35,700","$8,873"
179,"Bath, New Hampshire","$27,772","$4,192"
8,"Bedford, New Hampshire","$57,043","$4,614"
189,"Belmont, New Hampshire","$27,113","$2,415"
172,"Bennington, New Hampshire","$28,071","$2,854"
231,"Benton, New Hampshire","$20,959","$6,341"
230,"Berlin, New Hampshire","$21,348","$1,989"
178,"Bethlehem, New Hampshire","$27,853","$3,779"
210,"Boscawen, New Hampshire","$24,652","$4,403"
30,"Bow, New Hampshire","$42,764","$3,102"
171,"Bradford, New Hampshire","$28,152","$2,833"
60,"Brentwood, New Hampshire","$39,042","$4,514"
118,"Bridgewater, New Hampshire","$33,008","$5,211"
204,"Bristol, New Hampshire","$25,353","$2,335"
135,"Brookfield, New Hampshire","$31,576","$6,717"
39,"Brookline, New Hampshire","$41,226","$3,909"
25,"Campton, New Hampshire","$44,334","$16,745"
188,"Canaan, New Hampshire","$27,128","$3,098"
57,"Candia, New Hampshire","$39,475","$4,190"
54,"Canterbury, New Hampshire","$39,743","$4,245"
186,"Carroll, New Hampshire","$27,255","$6,633"
84,"Center Harbor, New Hampshire","$36,334","$6,088"
221,"Charlestown, New Hampshire","$23,527","$2,903"
162,"Chatham, New Hampshire","$28,582","$6,337"
29,"Chester, New Hampshire","$43,176","$5,133"
44,"Chesterfield, New Hampshire","$40,669","$6,019"
91,"Chichester, New Hampshire","$35,646","$3,852"
220,"Claremont, New Hampshire","$23,690","$1,310"
235,"Clarksville, New Hampshire","$18,691","$4,195"
203,"Colebrook, New Hampshire","$25,383","$1,986"
115,"Columbia, New Hampshire","$33,157","$7,805"
143,"Concord, New Hampshire","$30,427","$1,420"
196,"Conway, New Hampshire","$26,121","$1,891"
93,"Cornish, New Hampshire","$35,482","$4,366"
141,"Croydon, New Hampshire","$30,810","$5,281"
201,"Dalton, New Hampshire","$25,472","$3,306"
185,"Danbury, New Hampshire","$27,302","$2,470"
113,"Danville, New Hampshire","$33,448","$2,372"
88,"Deerfield, New Hampshire","$35,858","$5,091"
132,"Deering, New Hampshire","$31,726","$3,235"
137,"Derry, New Hampshire","$31,447","$1,263"
237,"Dixville, New Hampshire","$15,860","$19,959"
32,"Dorchester, New Hampshire","$42,173","$19,877"
123,"Dover, New Hampshire","$32,865","$1,658"
131,"Dublin, New Hampshire","$31,985","$3,305"
169,"Dummer, New Hampshire","$28,257","$7,712"
46,"Dunbarton, New Hampshire","$40,565","$4,217"
223,"Durham, New Hampshire","$22,650","$2,339"
58,"East Kingston, New Hampshire","$39,413","$4,979"
136,"Easton, New Hampshire","$31,460","$5,262"
17,"Eaton, New Hampshire","$46,981","$12,682"
207,"Effingham, New Hampshire","$25,167","$3,389"
149,"Ellsworth, New Hampshire","$29,998","$11,977"
18,"Enfield, New Hampshire","$46,742","$7,866"
101,"Epping, New Hampshire","$34,982","$3,803"
104,"Epsom, New Hampshire","$34,465","$2,711"
139,"Errol, New Hampshire","$31,073","$8,974"
45,"Exeter, New Hampshire","$40,616","$2,755"
190,"Farmington, New Hampshire","$26,701","$3,263"
